total_mass_source chirp_mass_source mass_ratio chi_eff
2.7363 1.1893 0.9070 0.0102
2.7277 1.1870 0.9559 0.0054
2.7444 1.1924 1.1152 0.0078
2.7349 1.1901 0.9562 -0.0056
2.7407 1.1911 0.9032 0.0032
2.7388 1.1910 0.9249 0.0008
2.7343 1.1851 1.1840 0.0081
2.7260 1.1861 1.0539 -0.0007
2.7278 1.1873 0.9929 -0.0037
2.7297 1.1879 1.0407 0.0056
2.7400 1.1894 1.1453 0.0133
2.7524 1.1860 0.7715 0.0040
2.7382 1.1916 1.0405 -0.0002
2.7530 1.1884 1.2655 0.0067
2.7250 1.1855 1.0606 -0.0058
2.7471 1.1892 1.2112 0.0083
2.7421 1.1902 0.8723 -0.0031
2.7322 1.1893 1.0002 0.0021
2.7291 1.1879 0.9955 -0.0063
2.7234 1.1851 0.9603 -0.0040
2.7259 1.1854 0.9236 -0.0019
2.7606 1.1864 0.7468 0.0047
2.7339 1.1888 1.0853 0.0082
2.7354 1.1901 1.0568 0.0080
2.7435 1.1891 1.1826 0.0041
2.7384 1.1886 0.8713 0.0041
2.7325 1.1873 0.8973 0.0014
2.7428 1.1879 1.2009 0.0009
2.7367 1.1911 0.9711 0.0006
2.7386 1.1863 1.1965 0.0020
2.7349 1.1890 0.9148 0.0132
2.7268 1.1869 0.9968 -0.0048
2.7273 1.1853 1.1061 0.0029
2.7466 1.1872 1.2411 0.0008
2.7464 1.1895 1.2009 0.0044
2.7357 1.1863 1.1726 0.0033
2.7626 1.1891 1.3151 0.0066
2.7307 1.1875 0.9249 0.0035
2.7240 1.1857 0.9911 0.0004
2.7309 1.1869 1.1041 0.0110
2.7391 1.1914 0.9333 -0.0024
2.7428 1.1908 1.1391 -0.0027
2.7336 1.1898 1.0269 0.0015
2.7341 1.1901 1.0136 0.0034
2.7300 1.1862 0.8980 -0.0054
2.7258 1.1865 1.0098 0.0063
2.7329 1.1893 0.9595 -0.0006
2.7321 1.1890 0.9713 0.0028
2.7338 1.1896 0.9569 0.0008
2.7389 1.1922 1.0010 -0.0009
2.7410 1.1931 0.9929 0.0035
2.7368 1.1900 0.9190 -0.0055
2.7268 1.1867 1.0365 0.0082
2.7247 1.1853 1.0638 0.0061
2.7315 1.1885 0.9501 -0.0041
2.7431 1.1879 1.2031 0.0127
2.7334 1.1895 0.9634 0.0001
2.7342 1.1851 1.1819 0.0081
2.7368 1.1875 0.8640 -0.0000
2.7324 1.1862 1.1409 -0.0057
2.7315 1.1888 0.9672 0.0105
2.7264 1.1866 0.9738 0.0079
2.7294 1.1859 1.1148 -0.0037
2.7346 1.1889 1.0919 0.0014
2.7304 1.1883 1.0298 0.0059
2.7417 1.1921 0.9182 0.0005
2.7419 1.1917 0.9038 -0.0025
2.7361 1.1890 1.1096 0.0072
2.7364 1.1895 0.9101 0.0133
2.7288 1.1866 0.9223 0.0102
2.7223 1.1847 0.9634 0.0060
2.7237 1.1853 0.9620 0.0033
2.7389 1.1871 1.1848 -0.0032
2.7745 1.1931 1.3294 0.0146
2.7356 1.1907 1.0186 0.0121
2.7257 1.1855 1.0756 -0.0073
2.7576 1.1897 1.2758 0.0042
2.7243 1.1858 0.9864 0.0019
2.7355 1.1872 1.1495 0.0071
2.7282 1.1875 0.9961 -0.0001
2.7437 1.1855 0.8011 0.0004
2.7244 1.1856 1.0377 0.0041
2.7410 1.1863 1.2152 0.0140
2.7370 1.1896 1.1046 0.0001
2.7371 1.1897 1.1007 0.0073
2.7341 1.1890 1.0802 -0.0012
2.7299 1.1868 1.0940 0.0059
