total_mass_source chirp_mass_source mass_ratio chi_eff
3.2903 1.4302 0.9077 0.0106
3.3285 1.4482 0.9472 0.0162
3.3168 1.4227 0.7312 0.0390
3.3041 1.4382 0.9931 0.0105
3.2871 1.4305 0.9647 0.0002
3.2815 1.4283 0.9993 0.0200
3.3027 1.4376 0.9940 0.0144
3.3535 1.4445 0.7673 0.0339
3.3476 1.4550 0.9048 0.0006
3.3346 1.4383 0.7810 0.0288
3.3279 1.4308 0.7501 0.0174
3.2855 1.4282 0.9114 0.0265
3.3160 1.4339 0.8107 0.0075
3.3227 1.4389 0.8312 0.0206
3.3281 1.4429 0.8505 0.0004
3.3762 1.4696 0.9971 0.0200
3.2949 1.4260 0.8226 0.0028
3.3167 1.4428 0.9382 0.0125
3.3157 1.4432 0.9921 0.0236
3.3374 1.4365 0.7605 0.0299
3.2556 1.4082 0.8143 0.0163
3.3378 1.4361 0.7566 0.0103
3.2541 1.4161 0.9638 0.0128
3.3073 1.4388 0.9407 0.0089
3.3245 1.4442 0.8915 0.0097
3.3387 1.4505 0.8931 0.0173
3.2989 1.4360 0.9991 0.0013
3.2704 1.4234 0.9806 0.0221
3.3483 1.4561 0.9235 0.0014
3.2628 1.4202 0.9897 0.0037
3.3219 1.4458 0.9758 0.0098
3.3177 1.4419 0.9038 0.0021
3.3822 1.4497 0.7253 0.0230
3.3284 1.4487 0.9789 0.0012
3.3092 1.4404 0.9909 0.0071
3.3493 1.4519 0.8476 0.0236
3.2967 1.4332 0.9137 0.0100
3.3582 1.4485 0.7816 0.0140
3.3675 1.4572 0.8199 0.0107
3.3304 1.4494 0.9662 0.0020
3.2990 1.4308 0.8564 0.0132
3.3199 1.4395 0.8510 0.0249
3.3205 1.4445 0.9392 0.0065
3.3097 1.4406 0.9835 -0.0038
3.3193 1.4343 0.8019 0.0239
3.2566 1.4165 0.9324 0.0146
3.3008 1.4355 0.9260 0.0185
3.2883 1.4303 0.9317 0.0258
3.2919 1.4267 0.8435 0.0051
3.3154 1.4427 0.9577 -0.0007
3.3607 1.4626 0.9704 0.0100
3.2639 1.4195 0.9270 0.0135
3.2583 1.4082 0.8040 0.0144
3.2856 1.4296 0.9487 0.0181
3.3207 1.4435 0.9094 0.0146
3.2772 1.4233 0.8849 0.0232
3.2763 1.4234 0.8934 0.0035
3.3103 1.4328 0.8244 0.0173
3.3188 1.4419 0.8949 0.0163
3.3011 1.4263 0.8012 0.0125
3.3108 1.4411 0.9871 0.0035
3.2857 1.4295 0.9433 0.0064
3.3284 1.4440 0.8613 0.0150
3.3379 1.4528 0.9771 0.0053
3.2853 1.4263 0.8770 0.0099
3.2996 1.4300 0.8433 0.0205
3.3512 1.4573 0.9223 0.0150
3.3148 1.4428 0.9830 0.0013
3.2925 1.4331 0.9834 0.0031
3.2622 1.4176 0.9013 0.0087
3.3547 1.4601 0.9807 0.0097
3.3387 1.4516 0.9167 0.0164
3.3380 1.4505 0.8993 0.0121
3.3050 1.4385 0.9891 0.0119
3.2836 1.4239 0.8538 0.0150
3.3038 1.4366 0.9218 0.0032
3.3213 1.4445 0.9287 0.0072
3.3132 1.4359 0.8432 0.0045
3.3148 1.4428 0.9812 0.0142
3.2855 1.4249 0.8553 0.0074
3.2901 1.4280 0.8714 0.0071
3.2710 1.4237 0.9857 -0.0001
3.3165 1.4404 0.8849 0.0171
3.3204 1.4441 0.9291 0.0153
3.3085 1.4401 0.9867 0.0014
3.3548 1.4409 0.7418 0.0244
3.2856 1.4253 0.8606 0.0145
3.2755 1.4257 0.9876 -0.0032
3.3001 1.4346 0.9102 0.0012
3.4004 1.4644 0.7657 0.0324
3.2915 1.4326 0.9757 0.0084
3.2826 1.4281 0.9447 0.0063
3.2913 1.4275 0.8571 0.0083
3.3319 1.4317 0.7452 0.0184
3.2782 1.4234 0.8787 0.0064
3.3076 1.4344 0.8548 0.0194
3.3524 1.4571 0.9060 0.0154
3.3582 1.4482 0.7794 0.0181
3.3047 1.4316 0.8367 0.0141
3.3125 1.4418 0.9899 0.0133
3.2986 1.4256 0.8038 0.0025
3.3053 1.4387 0.9818 0.0085
3.3306 1.4364 0.7803 0.0249
3.2938 1.4322 0.9189 0.0246
3.3620 1.4565 0.8371 0.0097
3.2565 1.4174 0.9866 0.0000
3.3280 1.4307 0.7493 0.0093
3.3646 1.4538 0.8014 0.0257
3.2961 1.4280 0.8377 -0.0089
