m1_source m2_source chi_1 cos_tilt_1 chi_2 cos_tilt_2 m_tot_source m_chirp_source q chi_eff lambda_1 lambda_2 ra dec D_L cos_theta_jn
1.7093 1.5963 0.0336 0.2197 0.0084 0.3805 3.3055 1.4378 0.9339 0.0054 195.6009 464.2279 4.3052 0.3714 154.4240 0.6451
1.8575 1.4952 0.0080 -0.0291 0.0365 0.7094 3.3527 1.4491 0.8050 0.0114 94.0050 165.5432 4.9014 -0.2132 117.3870 0.8815
1.7977 1.5730 0.0185 0.4438 0.0132 0.7402 3.3706 1.4632 0.8750 0.0090 270.3042 843.2192 1.9700 0.5810 71.9153 0.7502
1.7561 1.5964 0.0117 -0.4635 0.0079 0.5667 3.3524 1.4572 0.9090 -0.0007 296.4479 2300.1256 3.2708 0.5378 90.3523 -0.5512
1.6479 1.6460 0.0261 -0.2003 0.0454 0.5859 3.2938 1.4337 0.9989 0.0107 658.2051 2003.6561 0.4261 -0.5676 168.4153 0.7004
1.7560 1.5379 0.0143 -0.9802 0.0359 0.9605 3.2940 1.4300 0.8758 0.0086 395.5159 22.7820 4.2666 0.4236 180.8037 0.7823
1.6778 1.6546 0.0162 0.6885 0.0010 0.0772 3.3324 1.4505 0.9862 0.0057 252.2763 319.8435 4.5869 0.1682 113.0527 -0.1046
1.6929 1.6047 0.0289 -0.2756 0.0017 -0.2731 3.2976 1.4347 0.9479 -0.0043 33.7534 299.1620 3.3609 0.9313 163.8582 -0.8777
1.6611 1.6226 0.0045 0.4092 0.0070 -0.1120 3.2836 1.4292 0.9768 0.0005 157.7417 242.5162 4.4756 0.1142 183.4083 0.9924
1.6844 1.6227 0.0381 0.8079 0.0200 -0.3452 3.3071 1.4392 0.9634 0.0123 1453.6410 250.1175 3.5247 0.8341 150.1727 -0.5867
1.7195 1.5439 0.0261 0.4163 0.0221 0.9068 3.2635 1.4180 0.8979 0.0152 144.6609 597.3791 4.0678 0.5018 222.8200 0.8556
1.6908 1.6063 0.0041 0.1110 0.0484 0.9327 3.2971 1.4346 0.9500 0.0222 773.9662 1865.2740 4.4394 -0.0520 166.4102 0.8461
1.7673 1.5912 0.0001 -0.4367 0.0249 0.5413 3.3584 1.4594 0.9004 0.0064 501.8085 802.6246 3.9856 0.5285 83.5136 0.4274
1.8170 1.4938 0.0239 0.5926 0.0097 -0.0775 3.3107 1.4328 0.8221 0.0074 297.8027 153.4374 0.6366 -0.3176 170.7190 -0.8884
1.8149 1.4928 0.0328 0.4465 0.0021 -0.2530 3.3077 1.4316 0.8225 0.0078 1171.6938 577.9691 1.0781 -0.5277 174.8477 0.8944
1.6611 1.6059 0.0374 0.9831 0.0152 0.6889 3.2670 1.4218 0.9668 0.0238 646.5357 2570.6901 0.9415 -0.6170 210.4922 0.8250
1.7238 1.6194 0.0122 0.6928 0.0441 0.0984 3.3433 1.4544 0.9394 0.0065 252.2350 176.4272 1.5975 -0.1853 100.2116 -0.3950
1.7741 1.5376 0.0181 0.4172 0.0199 0.7173 3.3117 1.4371 0.8667 0.0107 157.0704 792.8903 1.3420 -0.7391 156.7420 -0.6977
1.7701 1.5174 0.0235 0.2078 0.0009 -0.9945 3.2875 1.4259 0.8572 0.0022 145.5343 24.6814 4.3248 0.4452 194.6214 0.7012
1.7319 1.5693 0.0099 0.7767 0.0060 0.0322 3.3013 1.4349 0.9061 0.0041 2.4140 785.1253 1.5270 0.0046 164.0960 0.9017
1.6609 1.6411 0.0305 0.4731 0.0169 0.1636 3.3020 1.4372 0.9880 0.0086 109.2010 258.3049 3.8263 0.8076 156.6748 -0.9255
1.6528 1.6341 0.0450 0.2908 0.0041 -0.0604 3.2868 1.4307 0.9887 0.0065 197.5520 2364.6004 4.7510 -0.0004 178.7438 0.9633
1.8124 1.4721 0.0042 -0.2117 0.0188 0.4892 3.2845 1.4204 0.8122 0.0036 56.7671 241.5181 4.3707 0.3958 213.2253 0.8849
1.6632 1.6021 0.0176 -0.7247 0.0236 0.4955 3.2653 1.4210 0.9633 -0.0008 273.7282 241.1801 3.7147 0.9220 211.2867 0.9317
1.7876 1.5613 0.0385 -0.7682 0.0290 0.9397 3.3489 1.4537 0.8734 -0.0031 69.7053 170.0642 4.4363 0.2819 101.4524 -0.1302
1.8007 1.5032 0.0302 0.6393 0.0305 0.7672 3.3038 1.4311 0.8348 0.0212 215.7290 1416.9781 4.4557 0.9191 177.7813 0.8335
1.7479 1.5715 0.0424 0.8494 0.0013 -0.2536 3.3195 1.4424 0.8991 0.0188 216.5893 976.9322 4.5714 -0.1540 139.8110 -0.8291
1.6861 1.6703 0.0285 -0.2838 0.0349 0.7962 3.3564 1.4609 0.9907 0.0098 114.1569 523.7265 4.1395 -0.1441 79.3011 -0.1619
1.7101 1.5938 0.0116 0.0590 0.0321 0.9225 3.3038 1.4370 0.9320 0.0146 1894.1124 435.3254 6.1859 -1.2021 157.8299 0.8683
1.7427 1.5346 0.0066 0.0232 0.0240 0.0087 3.2772 1.4230 0.8806 0.0002 3.5459 311.4586 4.4602 0.4152 204.2882 -0.9139
1.6561 1.6403 0.0163 0.1397 0.0124 0.4139 3.2965 1.4349 0.9905 0.0037 1734.4993 1048.9800 4.0826 0.9287 164.1767 0.8073
1.7590 1.5661 0.0257 0.1133 0.0396 0.7388 3.3251 1.4444 0.8904 0.0153 329.9754 609.9167 3.4187 0.5652 132.8390 -0.8267
1.6593 1.6308 0.0358 0.1714 0.0225 0.5768 3.2902 1.4321 0.9828 0.0095 319.4560 495.2212 1.2680 -0.1604 174.2068 0.7630
1.7664 1.5619 0.0328 0.7476 0.0453 0.7066 3.3283 1.4454 0.8842 0.0280 705.3003 492.0437 0.2203 -0.8741 130.8251 0.7848
1.6723 1.6042 0.0447 0.6016 0.0047 -0.5475 3.2765 1.4258 0.9592 0.0125 630.3224 335.3418 4.3917 0.0994 195.2461 0.8475
1.7194 1.6401 0.0402 -0.2602 0.0253 0.7590 3.3595 1.4618 0.9539 0.0040 429.8644 23.0979 3.2761 0.9267 76.5035 0.1358
